seed_id,x0,vx0,vy0
45,-0.8973684210526316,-0.04736842105263158,0.1583272270773031
46,-0.8973684210526316,-0.028421052631578948,0.1627990230754482
47,-0.8973684210526316,-0.009473684210526316,0.16498947679923867
48,-0.8973684210526316,0.009473684210526316,0.16498947679923867
49,-0.8973684210526316,0.028421052631578948,0.1627990230754482
50,-0.8973684210526316,0.04736842105263158,0.1583272270773031
51,-0.8973684210526316,0.06631578947368422,0.15137203907422692
52,-0.8973684210526316,0.08526315789473685,0.1415679061539884
53,-0.8973684210526316,0.10421052631578948,0.12826318393051622
54,-0.8973684210526316,0.1231578947368421,0.11019714656467385
55,-0.8973684210526316,0.14210526315789473,0.08436452056304697
56,-0.8973684210526316,0.16105263157894736,0.037058440448879335
57,-0.8842105263157894,-0.18,0.06811026445646573
58,-0.8842105263157894,-0.16105263157894736,0.10536155838741919
59,-0.8842105263157894,-0.14210526315789473,0.1297886832784553
60,-0.8842105263157894,-0.1231578947368421,0.14788894849960432
61,-0.8842105263157894,-0.10421052631578948,0.16179979706203543
62,-0.8842105263157894,-0.08526315789473685,0.17253753803200877
63,-0.8842105263157894,-0.06631578947368422,0.18066882462342995
64,-0.8842105263157894,-0.04736842105263158,0.1865348246610008
65,-0.8842105263157894,-0.028421052631578948,0.19034508633438038
66,-0.8842105263157894,-0.009473684210526316,0.1922218963380835
67,-0.8842105263157894,0.009473684210526316,0.1922218963380835
68,-0.8842105263157894,0.028421052631578948,0.19034508633438038
69,-0.8842105263157894,0.04736842105263158,0.1865348246610008
70,-0.8842105263157894,0.06631578947368422,0.18066882462342995
71,-0.8842105263157894,0.08526315789473685,0.17253753803200877
72,-0.8842105263157894,0.10421052631578948,0.16179979706203543
73,-0.8842105263157894,0.1231578947368421,0.14788894849960432
74,-0.8842105263157894,0.14210526315789473,0.1297886832784553
75,-0.8842105263157894,0.16105263157894736,0.10536155838741919
76,-0.8842105263157894,0.18,0.06811026445646573
77,-0.8710526315789474,-0.18,0.12536020295324077
